m_exp,k,n_coefficient,success_probability,total_size_avg,total_size_stddev,max_level_size_avg,max_level_size_stddev,oversize_runs
64,1024,1.0187500000000000,0.193,124206.896,52168.721,61580.912,44185.542,1
64,1024,1.0018750000000001,0.231,127850.314,88960.774,63620.901,67570.427,2
64,512,1.0000000000000000,0.010,83795.457,1034.491,43008.000,0.000,0
64,512,1.0009375000000000,0.391,88385.469,3169.908,43520.000,0.000,0
64,512,1.0032812500000001,0.402,88600.373,4454.529,43527.902,194.888,0
64,512,1.0075000000000001,0.423,88923.020,7536.223,43667.696,3842.667,0
64,512,1.0126562500000000,0.973,199219.080,252231.106,122436.493,233851.062,18
64,512,1.0239062500000000,0.981,185715.870,241016.418,110511.519,224045.324,13
64,256,0.9868749999999999,0.012,66440.903,737.094,34816.000,0.000,0
64,256,0.9945312500000000,0.050,67950.566,870.718,35072.000,0.000,0
64,256,0.9912500000000000,0.060,67956.939,853.294,35072.000,0.000,0
64,256,0.9956250000000000,0.214,69716.241,1118.618,35328.000,0.000,0
64,256,1.0014828109741212,0.220,69708.311,1083.186,35328.000,0.000,0
64,256,1.0067895507812499,0.601,72077.479,2067.719,35584.000,0.000,0
64,256,1.0028857421874999,0.614,72197.309,2341.078,35584.000,0.000,0
64,256,1.0097174072265624,0.911,76761.543,8176.863,36001.687,3849.014,0
64,256,1.0145971679687502,0.923,77320.256,10767.219,36153.797,6525.819,0
64,256,1.0165490722656252,0.993,91353.770,24412.994,38632.122,14788.710,0
64,256,1.0238687133789064,1.000,165294.886,132222.409,89444.438,121687.211,1
64,128,0.9650000000000000,0.010,58455.860,545.465,31616.000,0.000,0
64,128,0.9824999999999999,0.103,61765.868,720.850,32256.000,0.000,0
64,128,0.9890625000000000,0.160,62512.237,785.224,32384.000,0.000,0
64,128,0.9912500000000000,0.234,63257.523,836.831,32512.000,0.000,0
64,128,0.9907031250000000,0.260,63326.111,887.009,32512.000,0.000,0
64,128,0.9941894531250000,0.342,64119.907,922.078,32640.000,0.000,0
64,128,0.9976757812500000,0.391,64156.158,978.552,32640.000,0.000,0
64,128,0.9979663085937500,0.410,64195.139,986.779,32640.000,0.000,0
64,128,0.9984747314453125,0.493,65115.176,1100.880,32768.000,0.000,0
64,128,1.0007310485839844,0.500,65086.385,1048.842,32768.000,0.000,0
64,128,0.9989831542968750,0.522,65102.214,1033.324,32768.000,0.000,0
64,128,0.9982568359374999,0.530,65072.546,1080.108,32768.000,0.000,0
64,128,1.0056118464469910,0.672,66065.169,1272.455,32896.000,0.000,0
64,128,1.0021509170532226,0.690,66116.268,1214.427,32896.000,0.000,0
64,128,1.0097235488891600,0.790,67323.940,1506.322,33024.000,0.000,0
64,128,1.0058780717849731,0.801,67412.606,1642.793,33024.000,0.000,0
64,128,1.0064105224609374,0.814,67389.183,1551.569,33024.000,0.000,0
64,128,1.0101968383789062,0.911,68808.107,1992.677,33152.000,0.000,0
64,128,1.0177694702148437,0.993,72831.783,3453.790,33408.000,0.000,0
64,128,1.0262886810302732,1.000,80037.443,6861.706,33673.042,214.583,0
64,64,0.9299999999999999,0.013,59448.462,436.344,33664.000,0.000,0
64,64,0.9693749999999999,0.103,65421.981,603.739,35072.000,0.000,0
64,64,0.9737499999999999,0.160,66035.233,628.236,35200.000,0.000,0
64,64,0.9770312499999999,0.182,66681.563,647.076,35328.000,0.000,0
64,64,0.9824999999999999,0.260,67681.730,742.798,35520.000,0.000,0
64,64,0.9846874999999999,0.304,68390.284,726.853,35648.000,0.000,0
64,64,0.9868749999999999,0.320,68776.121,809.971,35712.000,0.000,0
64,64,0.9934375000000000,0.453,70337.177,858.736,35968.000,0.000,0
64,64,0.9978125000000000,0.530,71104.192,947.257,36096.000,0.000,0
64,64,0.9969921875000001,0.551,71190.209,949.822,36096.000,0.000,0
64,64,0.9972656250000000,0.560,71192.662,919.565,36096.000,0.000,0
64,64,1.0000000000000000,0.583,71577.242,958.375,36160.000,0.000,0
64,64,1.0018750000000001,0.611,71970.229,1009.610,36224.000,0.000,0
64,64,1.0004687500000000,0.624,71988.861,1036.980,36224.000,0.000,0
64,64,1.0037500000000001,0.683,72540.139,1060.070,36288.000,0.000,0
64,64,1.0046875000000002,0.713,72972.861,1066.001,36352.000,0.000,0
64,64,1.0056250000000002,0.722,72986.201,1105.123,36352.000,0.000,0
64,64,1.0089062499999999,0.764,74015.505,1186.296,36480.000,0.000,0
64,64,1.0075000000000001,0.781,74006.076,1186.055,36480.000,0.000,0
64,64,1.0093749999999999,0.821,74526.316,1229.179,36544.000,0.000,0
64,64,1.0150000000000001,0.922,76222.128,1470.850,36736.000,0.000,0
64,64,1.0300000000000000,0.994,82209.000,2276.010,37248.000,0.000,0
64,64,1.0379687500000001,1.000,87694.190,3268.923,37568.000,0.000,0
64,32,0.8818750000000000,0.014,76753.173,390.853,45856.000,0.000,0
64,32,0.8862500000000000,0.023,77558.456,376.258,46112.000,0.000,0
64,32,0.9343750000000000,0.092,86277.864,516.850,48608.000,0.000,0
64,32,0.9365625000000000,0.113,86672.269,540.908,48704.000,0.000,0
64,32,0.9387500000000000,0.122,87163.194,540.464,48832.000,0.000,0
64,32,0.9475000000000000,0.160,88969.039,564.784,49280.000,0.000,0
64,32,0.9529687500000000,0.172,90180.757,614.824,49568.000,0.000,0
64,32,0.9682812499999999,0.304,93690.592,696.729,50368.000,0.000,0
64,32,0.9737499999999999,0.321,95060.529,759.942,50656.000,0.000,0
64,32,0.9693749999999999,0.331,94001.840,735.648,50432.000,0.000,0
64,32,0.9792187499999999,0.380,96497.494,808.373,50944.000,0.000,0
64,32,0.9796289062499999,0.401,96543.578,751.781,50944.000,0.000,0
64,32,0.9824999999999999,0.422,97344.372,814.024,51104.000,0.000,0
64,32,0.9850292968750000,0.442,97978.915,820.278,51232.000,0.000,0
64,32,0.9875244140624999,0.490,98669.277,793.544,51360.000,0.000,0
64,32,0.9887719726562499,0.501,99020.287,873.150,51424.000,0.000,0
64,32,0.9900195312500000,0.512,99322.108,854.858,51488.000,0.000,0
64,32,0.9950097656250000,0.571,100749.913,919.939,51744.000,0.000,0
64,32,0.9975048828124999,0.602,101551.320,924.778,51872.000,0.000,0
64,32,1.0000000000000000,0.620,102273.756,903.368,52000.000,0.000,0
64,32,1.0037500000000001,0.674,103686.044,954.241,52224.000,0.000,0
64,32,1.0051562500000002,0.680,104029.048,1020.872,52288.000,0.000,0
64,32,1.0046875000000002,0.690,103814.828,1030.774,52256.000,0.000,0
64,32,1.0150000000000001,0.780,107399.734,1174.623,52800.000,0.000,0
64,32,1.0271875000000001,0.884,112297.011,1385.221,53440.000,0.000,0
64,32,1.0281250000000002,0.920,112569.681,1423.597,53472.000,0.000,0
64,32,1.0449999999999999,0.990,120769.205,1838.797,54368.000,0.000,0
64,32,1.0675000000000001,1.000,135073.267,2851.934,55520.000,0.000,0
64,16,0.7500000000000000,0.011,128227.602,330.323,85584.000,0.000,0
64,16,0.8000000000000000,0.030,142062.175,405.515,91280.000,0.000,0
64,16,0.8500000000000001,0.070,157517.271,513.189,96992.000,0.000,0
64,16,0.8750000000000000,0.107,166003.044,543.087,99840.000,0.000,0
64,16,0.9000000000000000,0.165,175073.616,632.580,102688.000,0.000,0
64,16,0.9125000000000001,0.197,179945.190,640.450,104128.000,0.000,0
64,16,0.9191406250000000,0.223,182553.133,676.639,104880.000,0.000,0
64,16,0.9218750000000000,0.239,183638.429,684.135,105184.000,0.000,0
64,16,0.9203125000000001,0.249,182957.619,706.054,105008.000,0.000,0
64,16,0.9250000000000000,0.250,184951.985,688.601,105552.000,0.000,0
64,16,0.9375000000000000,0.307,190157.539,780.002,106976.000,0.000,0
64,16,0.9500000000000000,0.351,195743.313,829.317,108400.000,0.000,0
64,16,0.9554687499999999,0.369,198224.992,845.595,109024.000,0.000,0
64,16,0.9558593750000000,0.371,198414.698,848.530,109072.000,0.000,0
64,16,0.9546874999999999,0.390,197808.902,855.865,108928.000,0.000,0
64,16,0.9562499999999999,0.414,198599.238,837.366,109120.000,0.000,0
64,16,0.9624999999999999,0.466,201557.442,867.413,109824.000,0.000,0
64,16,0.9750000000000000,0.489,207698.018,936.631,111248.000,0.000,0
64,16,0.9757812500000000,0.497,208059.793,970.793,111344.000,0.000,0
64,16,0.9781249999999999,0.513,209364.110,996.980,111616.000,0.000,0
64,16,0.9812500000000000,0.529,210905.025,967.615,111968.000,0.000,0
64,16,0.9875000000000000,0.560,214135.068,991.820,112672.000,0.000,0
64,16,1.0000000000000000,0.600,221075.913,1105.379,114112.000,0.000,0
64,16,1.0143750000000000,0.709,229515.879,1263.692,115744.000,0.000,0
64,16,1.0287500000000001,0.779,238868.886,1371.913,117392.000,0.000,0
64,16,1.0305468750000002,0.786,240050.076,1409.412,117584.000,0.000,0
64,16,1.0309960937500002,0.793,240390.742,1354.490,117648.000,0.000,0
64,16,1.0323437500000001,0.810,241249.341,1347.179,117792.000,0.000,0
64,16,1.0359375000000002,0.842,243737.358,1401.808,118208.000,0.000,0
64,16,1.0431250000000001,0.853,248765.082,1507.373,119024.000,0.000,0
64,16,1.0575000000000001,0.906,259892.781,1634.931,120672.000,0.000,0
64,16,1.1150000000000000,0.992,317010.646,2832.603,127232.000,0.000,0
64,16,1.1347656250000000,1.000,343404.445,3264.655,129488.000,0.000,0
64,8,0.6250000000000000,0.016,451587.123,496.260,327680.000,0.000,0
